sale_id,user_id,product_id,quantity,total_price
1,730,11,4,146.36
2,827,1,1,184.39
3,934,40,3,191.97
4,340,81,4,1700.28
5,581,28,5,426.5
6,1,95,5,2429.35
7,668,62,2,146.06
8,554,84,4,20.84
9,849,29,2,681.38
10,103,55,2,798.28
11,283,29,3,1022.07
12,641,25,4,327.28
13,636,28,5,426.5
14,901,21,5,503.4
15,654,9,1,159.81
16,462,98,5,1834.75
17,133,32,2,119.72
18,855,44,1,332.62
19,424,18,3,900.15
20,822,35,5,1854.2
21,137,24,2,108.6
22,581,75,5,2131.65
23,334,40,1,63.99
24,521,39,1,234.54
25,171,86,1,438.91
26,590,90,5,216.25
27,28,58,5,2070.5
28,524,8,4,280.2
29,429,10,5,1340.85
30,109,22,5,834.25
31,331,86,1,438.91
32,930,29,5,1703.45
33,777,30,5,2016.55
34,347,35,5,1854.2
35,916,21,3,302.04
36,279,35,5,1854.2
37,892,6,5,81.15
38,695,74,2,769.1
39,829,67,5,742.75
40,652,39,5,1172.7
41,173,37,5,1043.45
42,258,4,2,575.88
43,878,7,3,65.64
44,656,16,1,114.45
45,564,13,3,1209.6
46,824,83,3,740.31
47,236,33,4,913.96
48,801,36,2,833.64
49,702,54,3,367.32
50,941,61,3,1423.92
51,546,45,1,121.73
52,183,3,1,6.62
53,544,76,3,475.95
54,6,46,2,94.72
55,725,66,3,138.27
56,356,30,1,403.31
57,784,94,1,65.63
58,529,32,4,239.44
59,975,1,5,921.95
60,10,87,2,875.92
61,937,12,1,66.1
62,627,44,1,332.62
63,214,92,2,545.16
64,734,22,3,500.55
65,542,98,5,1834.75
66,139,30,1,403.31
67,814,79,2,794.12
68,901,66,1,46.09
69,196,36,5,2084.1
70,995,82,1,433.76
71,871,24,4,217.2
72,474,99,4,825.44
73,532,79,4,1588.24
74,355,89,4,760.08
75,551,32,1,59.86
76,95,45,4,486.92
77,202,18,5,1500.25
78,853,21,3,302.04
79,157,75,2,852.66
80,132,90,2,86.5
81,235,76,3,475.95
82,674,82,5,2168.8
83,972,22,4,667.4
84,177,12,1,66.1
85,4,93,3,769.89
86,785,3,2,13.24
87,534,60,5,448.75
88,418,18,5,1500.25
89,26,27,3,786.54
90,520,100,5,2371.45
91,790,22,2,333.7
92,405,89,5,950.1
93,809,35,2,741.68
94,472,4,4,1151.76
95,206,86,1,438.91
96,116,18,3,900.15
97,970,54,1,122.44
98,442,29,4,1362.76
99,833,6,5,81.15
100,969,47,2,323.8
101,851,45,3,365.19
102,136,73,2,497.68
103,736,4,5,1439.7
104,660,7,4,87.52
105,412,29,5,1703.45
106,185,83,2,493.54
107,737,13,5,2016.0
108,698,61,3,1423.92
109,98,17,1,85.28
110,692,65,1,185.04
111,862,24,1,54.3
112,964,78,4,1346.76
113,11,11,3,109.77
114,99,67,4,594.2
115,243,62,3,219.09
116,332,52,2,886.88
117,163,23,4,1154.32
118,358,65,5,925.2
119,849,25,3,245.46
120,693,27,4,1048.72
121,849,47,3,485.7
122,490,21,3,302.04
123,197,67,1,148.55
124,629,68,4,1904.48
125,724,46,4,189.44
126,447,76,1,158.65
127,165,51,3,1093.11
128,822,74,2,769.1
129,685,86,3,1316.73
130,26,23,4,1154.32
131,201,99,4,825.44
132,723,46,1,47.36
133,454,59,5,25.75
134,687,56,3,949.41
135,962,66,3,138.27
136,557,15,3,88.59
137,237,69,2,424.68
138,270,22,5,834.25
139,231,48,5,2010.3
140,551,70,4,920.92
141,79,82,3,1301.28
142,111,22,3,500.55
143,121,82,4,1735.04
144,989,24,1,54.3
145,231,72,1,480.09
146,622,56,2,632.94
147,253,40,1,63.99
148,813,62,2,146.06
149,262,32,3,179.58
150,328,26,5,2126.1
151,855,95,4,1943.48
152,219,58,5,2070.5
153,506,63,5,988.1
154,819,11,1,36.59
155,434,69,4,849.36
156,315,30,5,2016.55
157,581,10,3,804.51
158,125,41,5,692.6
159,885,66,2,92.18
160,735,21,1,100.68
161,861,44,3,997.86
162,549,41,3,415.56
163,845,24,5,271.5
164,74,63,5,988.1
165,79,8,2,140.1
166,517,1,5,921.95
167,460,24,4,217.2
168,710,42,2,717.06
169,970,56,1,316.47
170,999,76,3,475.95
171,514,56,1,316.47
172,640,31,3,1118.28
173,511,45,5,608.65
174,759,26,2,850.44
175,331,1,2,368.78
176,580,54,4,489.76
177,250,33,1,228.49
178,31,19,5,71.8
179,875,17,3,255.84
180,969,35,1,370.84
181,976,9,4,639.24
182,115,10,4,1072.68
183,368,75,1,426.33
184,323,82,1,433.76
185,886,85,2,151.0
186,157,32,4,239.44
187,266,83,4,987.08
188,371,64,3,654.57
189,889,85,4,302.0
190,583,7,4,87.52
191,383,47,3,485.7
192,557,52,5,2217.2
193,138,6,4,64.92
194,59,27,3,786.54
195,445,36,4,1667.28
196,460,60,3,269.25
197,891,66,1,46.09
198,695,6,4,64.92
199,173,30,2,806.62
200,487,50,2,442.46
201,440,66,1,46.09
202,780,75,3,1278.99
203,633,15,2,59.06
204,424,32,3,179.58
205,127,100,3,1422.87
206,203,85,4,302.0
207,291,68,3,1428.36
208,944,88,1,110.73
209,268,17,5,426.4
210,365,63,3,592.86
211,25,18,3,900.15
212,874,67,4,594.2
213,306,4,2,575.88
214,57,70,4,920.92
215,280,79,5,1985.3
216,526,12,2,132.2
217,418,80,3,738.72
218,880,51,2,728.74
219,865,64,1,218.19
220,256,87,2,875.92
221,714,36,2,833.64
222,248,43,1,80.95
223,855,9,3,479.43
224,612,66,5,230.45
225,341,79,4,1588.24
226,272,8,3,210.15
227,86,13,5,2016.0
228,466,25,5,409.1
229,983,1,2,368.78
230,152,53,5,346.8
231,642,42,2,717.06
232,935,40,3,191.97
233,555,38,5,2456.2
234,606,8,4,280.2
235,255,84,4,20.84
236,416,18,2,600.1
237,958,32,5,299.3
238,870,78,5,1683.45
239,595,77,1,383.17
240,647,54,2,244.88
241,602,100,1,474.29
242,230,83,1,246.77
243,136,94,3,196.89
244,406,87,4,1751.84
245,716,54,1,122.44
246,434,48,5,2010.3
247,969,81,1,425.07
248,695,55,1,399.14
249,55,23,1,288.58
250,465,17,5,426.4
251,156,80,4,984.96
252,113,53,5,346.8
253,825,41,2,277.04
254,72,86,5,2194.55
255,124,70,2,460.46
256,83,89,5,950.1
257,431,97,1,111.32
258,329,39,2,469.08
259,610,1,2,368.78
260,887,21,3,302.04
261,226,38,4,1964.96
262,780,65,3,555.12
263,584,59,3,15.45
264,607,18,2,600.1
265,418,28,3,255.9
266,761,57,2,763.12
267,979,10,4,1072.68
268,822,8,3,210.15
269,922,78,4,1346.76
270,793,99,4,825.44
271,474,1,2,368.78
272,152,78,3,1010.07
273,909,64,1,218.19
274,740,77,4,1532.68
275,719,3,5,33.1
276,921,55,3,1197.42
277,283,22,5,834.25
278,197,8,1,70.05
279,860,47,3,485.7
280,737,39,2,469.08
281,383,98,1,366.95
282,947,82,2,867.52
283,459,38,2,982.48
284,159,96,4,1675.36
285,52,38,5,2456.2
286,424,95,3,1457.61
287,339,42,4,1434.12
288,241,98,1,366.95
289,56,59,5,25.75
290,975,85,4,302.0
291,716,26,4,1700.88
292,4,17,2,170.56
